,mu,sigma,r2
2.0,85.22027688732551,3.425617294578854,0.9995202776290426
2.1,86.31021987921616,3.5519023281132935,0.9995367218716058
2.2,87.33248790486859,3.629774145938544,0.9995272292631736
2.3,88.29887983086981,3.683561850686804,0.9994582757149937
2.4,89.22110350353948,3.734819198313788,0.999411774366435
2.5,90.10413019502874,3.7858165844754046,0.9994431979113158
2.6,90.95018506475485,3.8332066466789074,0.9994943016037173
2.7,91.76167039539158,3.874623568995697,0.9995291512313162
2.8,92.54211929835472,3.9106262855026714,0.9995611390044661
2.9,93.29641080728541,3.9446571812960145,0.9996006258372707
3.0,94.02891419887646,3.978672949821655,0.9996484185192618
3.1,94.74316089745464,4.013236239718831,0.9997014876335233
3.2,95.44260322754774,4.048708281013663,0.999753285314757
3.3,96.13069053337736,4.085448209063533,0.9997972576450245
3.4,96.81080670278003,4.123697857737259,0.9998297019629239
3.5,97.48630481510608,4.163632126460823,0.9998510858523718
3.6,98.16029166330594,4.204854250026522,0.9998657206650932
3.7,98.83501656850446,4.246951096538698,0.9998763060304082
3.8,99.5118037398115,4.289336434605968,0.9998841206309521
3.9,100.19117996702171,4.331158394093241,0.9998903136756121
4.0,100.87316904628572,4.3720856604783025,0.9998961304962957
4.1,101.55761943574214,4.412154715647944,0.9999021870594658
4.2,102.24435444485802,4.451464454430934,0.9999085629163376
4.3,102.93320020009914,4.490122199306443,0.9999150612745014
4.4,103.6239878784055,4.528246072515171,0.999921409951504
4.5,104.31655772598722,4.565973836078608,0.9999273499728943
4.6,105.01078186763263,4.603514096658378,0.9999324011550749
4.7,105.70660472042374,4.640937391269264,0.9999358282363545
4.8,106.40402554465481,4.678154628090483,0.9999370390849565
4.9,107.10304359150587,4.7150821712456334,0.9999358198372191
5.0,107.80365979514387,4.7516367851872845,0.9999320527506309
5.1,108.50588397349544,4.787715230604988,0.9999252118815427
5.2,109.20964890956373,4.823455001158732,0.9999141763378201
5.3,109.91462966075002,4.859635069404938,0.9998987365179182
5.4,110.62035148055466,4.896942175882128,0.9998804094943357
5.5,111.32643966009789,4.935577774756676,0.9998610021845777
5.6,112.03262391362433,4.975424509852938,0.9998417282863394
5.7,112.7386055147213,5.016336310644864,0.9998237138325772
5.8,113.44392301607066,5.058114036941587,0.9998076505583829
5.9,114.14803957875827,5.100566135994512,0.9997939149673343
6.0,114.85039675276867,5.14351683099448,0.9997826918676552
6.1,115.55045101691113,5.186756007032931,0.9997739975964948
6.2,116.24766311416644,5.230068840614535,0.9997677796734891
6.3,116.94149621625147,5.273240009818363,0.9997639521596116
6.4,117.63141562507144,5.316054040757211,0.999762416336482
6.5,118.31688842909381,5.358295459200648,0.9997630739824466
6.6,118.99738312549093,5.399748851141115,0.9997658337563787
6.7,119.67236920777357,5.44019872138805,0.999770611151748
6.8,120.34131672877182,5.479429270540162,0.9997773224000268
6.9,121.00369583490925,5.5172240081865045,0.9997858725875419
7.0,121.65897664713737,5.553364832294241,0.9997961380134455
7.1,122.30662104484972,5.587651317374435,0.9998079747911224
7.2,122.94607157551798,5.620029094633065,0.9998211500689075
7.3,123.5768452621654,5.650671707850167,0.9998348429126175
7.4,124.19849282845021,5.679843072216093,0.9998481018252181
7.5,124.81057205109356,5.707832877820288,0.9998601037431076
7.6,125.41265262977628,5.734950577511096,0.9998702184807232
7.7,126.0044680425039,5.761707564477204,0.9998779940343699
7.8,126.58587209109875,5.788762906825609,0.9998830655187146
7.9,127.15673562998066,5.816767524547358,0.9998850604334842
8.0,127.71725787476159,5.846229765570834,0.9998839772918082
8.1,128.26800557941135,5.877491059532927,0.9998802069637951
8.2,128.80975063675697,5.910662354988075,0.9998740203636484
8.3,129.34341675369652,5.945674805517147,0.9998655930585812
8.4,129.86993282011028,5.982453726962176,0.9998551066212307
8.5,130.39022769789707,6.020925194089225,0.9998427975883836
8.6,130.90522950696774,6.0610171283995875,0.9998289908254527
8.7,131.41586508635208,6.102659980543694,0.9998141193463437
8.8,131.92305962876122,6.145787001873354,0.99979873116492
8.9,132.42773648612513,6.190334148617725,0.999783483677526
9.0,132.93081714483367,6.236239664503301,0.9997691261115
9.1,133.433221364882,6.283443305901863,0.9997564707062943
9.2,133.93586740065973,6.331885141623689,0.9997463536770264
9.3,134.43966320023094,6.381484365172758,0.9997396075424156
9.4,134.94549838454913,6.4321193423126575,0.9997370272233038
9.5,135.4542612325416,6.48366033989171,0.9997392770305467
9.6,135.96684653518167,6.535984341704567,0.9997467903253673
9.7,136.48419991308197,6.588970807683024,0.9997594590002218
9.8,137.00735797268436,6.642434260376277,0.9997764703726765
9.9,137.53737151815398,6.696180125752054,0.9997968784706565
10.0,138.07524458932184,6.750018385498061,0.9998196077463273
10.1,138.62189316606504,6.803781331624603,0.9998434522319152
10.2,139.17820793648633,6.857328170020052,0.9998673485240724
10.3,139.7450969941244,6.910481160839553,0.9998903444654704
10.4,140.32348670397712,6.96302286895031,0.9999116270447629
10.5,140.91430117668583,7.014739096277606,0.9999306137287194
10.6,141.51846064963567,7.065419278480294,0.9999469263550211
10.7,142.13685873077478,7.114791029401321,0.9999603953914843
10.8,142.7703178350054,7.162387741064236,0.999971110509355
10.9,143.4196463329465,7.207705942166217,0.9999792624828792
11.0,144.08548913969054,7.250166930970985,0.9999851218737292
11.1,144.76766281862362,7.288756948421176,0.9999891564785247
11.2,145.46504106842016,7.322803323790724,0.9999919394436279
11.3,146.17502510075587,7.351372483983448,0.9999933832043779
11.4,146.8943758936749,7.373449168453461,0.999993491196683
11.5,147.61983240658031,7.388070434869096,0.9999926821641886
11.6,148.34783642931862,7.395013779814043,0.9999912973133986
11.7,149.0745962399597,7.394627959044613,0.9999895191645639
11.8,149.79636163307114,7.387360375188149,0.9999876550232322
11.9,150.50936625814813,7.373825088764694,0.999986069384149
12.0,151.20981627294768,7.354703840430347,0.9999850747047496
12.1,151.8939321457625,7.3306654669058045,0.999984655501908
12.2,152.55823248778717,7.302378724594502,0.9999838919148134
12.3,153.20063588525704,7.270568582081108,0.9999809724171725
12.4,153.81991224971284,7.2355579043414675,0.9999739656247526
12.5,154.4149326033315,7.197509302023654,0.9999619383344965
12.6,154.98459210898454,7.156512206535082,0.9999456708866375
12.7,155.52812692666754,7.1129014638492825,0.9999271065957678
12.8,156.04537496250572,7.067827364428888,0.9999081346195455
12.9,156.53651547384288,7.022248599042432,0.9998906623536645
13.0,157.00210215170054,6.976695397879149,0.9998760060995837
13.1,157.44271468004902,6.931678786017724,0.9998651280421459
13.2,157.85893513450972,6.887726898498725,0.9998587057654461
13.3,158.25135218896213,6.845388527031015,0.9998571459237061
13.4,158.62056288605248,6.805204573050317,0.9998605602232934
13.5,158.96722764841243,6.7675633682680605,0.9998685891652982
13.6,159.29212248038817,6.732677711686674,0.999880329410939
13.7,159.59606649680603,6.700709862579514,0.9998946331569687
13.8,159.8798566380248,6.671760151267415,0.9999103141784286
13.9,160.14421624178115,6.645810660755138,0.9999263119790129
14.0,160.38982550978056,6.622790665676485,0.9999417143784143
14.1,160.61736257933782,6.602626314362248,0.9999557417619369
14.2,160.82754554952058,6.585189972430017,0.9999678391685547
14.3,161.02116307752502,6.57029578664208,0.999977701142568
14.4,161.19901125381887,6.557754947983258,0.9999851533781117
14.5,161.36188539352327,6.547378551794228,0.9999901395040691
14.6,161.51058034674173,6.538977253707948,0.9999927175490761
14.7,161.64589084902175,6.532360857377616,0.9999930508252426
14.8,161.76861121071934,6.527339823622317,0.9999913917528818
14.9,161.87952363470183,6.523759914337241,0.999988031677591
15.0,161.9794000404418,6.521496826932737,0.9999832826045634
15.1,162.06901268676287,6.520425149619131,0.9999774949445516
15.2,162.14913431422457,6.520418096607043,0.9999710518370439
15.3,162.2205379728215,6.521348139060699,0.9999643590828559
15.4,162.28399534127814,6.5230862642361505,0.9999578308529771
15.5,162.34025424579806,6.525476324313159,0.9999518592553397
15.6,162.39004273042022,6.528340761035763,0.999946802901208
15.7,162.43408803847947,6.5315034500273335,0.9999429877532027
15.8,162.47311712760649,6.5347906722828295,0.9999406938209378
15.9,162.50785661449623,6.538031314555452,0.9999401382658548
16.0,162.53903274086937,6.541056974448888,0.9999414551514711
16.1,162.56737136322118,6.543702026377852,0.9999446716530668
16.2,162.59359713879041,6.545805890900838,0.9999496815881277
16.3,162.61842495596025,6.54723210804892,0.9999562248009575
16.4,162.64251223579498,6.547770648381151,0.9999637853862253
16.5,162.66638289327517,6.5471096893689795,0.9999715620010771
16.6,162.69033694640112,6.545175135367126,0.9999784762961236
16.7,162.71459392547774,6.541971754577454,0.9999835335947175
16.8,162.73932276417128,6.537582424987881,0.9999859731792239
16.9,162.7646242979424,6.532228094849353,0.9999853538558958
17.0,162.79057830586447,6.526115324805013,0.999981705733048
17.1,162.8172567225672,6.5194358722898285,0.9999755435217128
17.2,162.84473069418559,6.512377561342335,0.9999678178599088
17.3,162.87307029719514,6.505126440435514,0.9999598213437801
17.4,162.90233851613272,6.497869553225889,0.9999530295943037
17.5,162.93240892553166,6.490803138561016,0.9999485218347327
17.6,162.9629302199299,6.484137188062266,0.999946645421557
17.7,162.99353716236192,6.478090217550712,0.9999473896784113
17.8,163.0238637324363,6.4728879286932814,0.9999504695489266
17.9,163.05354326060734,6.468761924881907,0.9999553787932466
