percentile,height_boys_12,height_boys_14,height_boys_19,height_girls_12,height_girls_14,height_girls_19
0.1,127.33644859813084,139.48598130841123,153.97196261682242,130.1948051948052,138.3766233766234,143.05194805194807
3.0,135.74766355140187,148.83177570093457,162.85046728971963,138.5714285714286,146.75324675324677,151.03896103896105
5.0,136.91689008042897,150.1876675603217,164.6380697050938,138.686327077748,149.32153392330383,152.56637168141594
10.0,139.57104557640753,153.43163538873995,167.58713136729222,141.6353887399464,151.976401179941,154.92625368731564
15.0,141.82242990654206,155.37383177570092,169.1588785046729,144.22077922077924,152.5974025974026,156.49350649350652
25.0,143.9946380697051,158.44504021447722,171.71581769436995,146.05898123324397,155.81120943952803,158.76106194690266
50.0,149.00804289544237,163.3177570093458,176.7292225201072,151.23376623376626,160.23598820059,163.11688311688314
75.0,154.0214477211796,169.06166219839142,181.44772117962464,156.0857908847185,164.66076696165192,167.61061946902657
85.0,156.54205607476635,171.26168224299064,184.11214953271028,158.44155844155847,167.01298701298705,169.93506493506496
90.0,158.73994638069706,173.78016085790884,185.87131367292224,160.50938337801608,168.79056047197642,171.4454277286136
95.0,161.68900804289544,176.7292225201072,188.23056300268092,163.16353887399464,171.1504424778761,173.8053097345133
97.0,162.38317757009347,177.803738317757,190.4205607476636,164.09090909090912,172.8571428571429,175.5844155844156
99.9,171.02803738317758,186.9158878504673,199.06542056074767,172.4675324675325,181.23376623376623,183.3766233766234
